"caseid","year","rr","rr_lag","union_now","union_past","union_gained","union_lost","age","female","educ","faminc","pid7"
38716,"2010",0,NA,1,0,NA,NA,24,1,5,5,1
38716,"2012",0,0,1,0,0,0,24,1,5,15,1
38716,"2014",0,0,1,0,0,0,24,1,6,15,1
78113,"2010",0.125,NA,1,0,NA,NA,47,1,5,15,1
78113,"2012",0.125,0.125,1,0,0,0,47,1,5,NA,1
78113,"2014",0.125,0.125,1,0,0,0,47,1,5,NA,1
63800,"2010",0.625,NA,1,0,NA,NA,62,0,6,11,1
63800,"2012",0.375,0.625,1,0,0,0,62,0,6,15,1
63800,"2014",0.75,0.375,1,0,0,0,62,0,6,15,1
15002,"2010",0.75,NA,1,0,NA,NA,59,0,5,11,1
15002,"2012",0.5,0.75,1,0,0,0,59,0,5,15,1
15002,"2014",0.125,0.5,1,0,0,0,59,0,5,15,1
67434,"2010",0.25,NA,1,0,NA,NA,51,0,3,10,3
67434,"2012",0.125,0.25,1,0,0,0,51,0,3,15,4
67434,"2014",0.25,0.125,1,0,0,0,51,0,3,15,3
3557,"2010",0.25,NA,1,0,NA,NA,71,1,4,15,1
3557,"2012",0,0.25,1,0,0,0,71,1,4,15,1
3557,"2014",0,0,1,0,0,0,71,1,4,15,1
26218,"2010",0.25,NA,1,0,NA,NA,57,0,3,6,1
26218,"2012",0,0.25,1,0,0,0,57,0,3,15,1
26218,"2014",0.25,0,1,0,0,0,57,0,3,15,1
21825,"2010",0.5,NA,1,0,NA,NA,67,1,3,8,1
21825,"2012",0.5,0.5,1,0,0,0,67,1,3,15,1
21825,"2014",0.5,0.5,1,0,0,0,67,1,3,15,1
47811,"2010",0.875,NA,1,0,NA,NA,57,1,2,9,1
47811,"2012",0.375,0.875,1,0,0,0,57,1,2,15,1
47811,"2014",0.375,0.375,1,0,0,0,57,1,2,15,1
29976,"2010",0.25,NA,1,0,NA,NA,53,1,5,11,1
29976,"2012",0.125,0.25,1,0,0,0,53,1,5,15,1
29976,"2014",0,0.125,1,0,0,0,53,1,5,15,1
71838,"2010",0.375,NA,1,0,NA,NA,50,0,5,1,3
71838,"2012",0.25,0.375,1,0,0,0,50,0,5,15,3
71838,"2014",0.125,0.25,1,0,0,0,50,0,5,15,3
83270,"2010",0.25,NA,0,0,NA,NA,61,0,5,11,1
83270,"2012",0.25,0.25,0,0,0,0,61,0,5,15,1
83270,"2014",0.25,0.25,0,0,0,0,61,0,5,15,1
76587,"2010",0.25,NA,0,0,NA,NA,54,0,5,12,4
76587,"2012",0.25,0.25,0,0,0,0,54,0,5,15,4
76587,"2014",0.125,0.25,0,0,0,0,54,0,5,15,4
16705,"2010",0.125,NA,1,0,NA,NA,62,0,6,15,1
16705,"2012",0,0.125,1,0,0,0,62,0,6,NA,1
16705,"2014",0,0,1,0,0,0,62,0,6,NA,1
3398,"2010",0.375,NA,1,0,NA,NA,45,0,6,14,1
3398,"2012",0.25,0.375,1,0,0,0,45,0,6,15,1
3398,"2014",0.25,0.25,1,0,0,0,45,0,6,15,1
76717,"2010",0.625,NA,0,0,NA,NA,58,1,5,10,1
76717,"2012",0.5,0.625,0,0,0,0,58,1,5,15,1
76717,"2014",0.375,0.5,0,0,0,0,58,1,5,15,1
2746,"2010",0.25,NA,0,0,NA,NA,47,1,6,11,1
2746,"2012",0.25,0.25,0,0,0,0,47,1,6,15,1
2746,"2014",0,0.25,0,1,0,1,47,1,6,15,1
31068,"2010",1,NA,1,0,NA,NA,61,1,3,13,7
31068,"2012",0.75,1,1,0,0,0,61,1,4,15,7
31068,"2014",0.75,0.75,1,0,0,0,61,1,3,15,7
81576,"2010",0.5,NA,0,0,NA,NA,57,0,3,10,1
